mysqld, Version: 5.7.28-log (MySQL Community Server (GPL)). started with:
Tcp port: 3306  Unix socket: /tmp/mysql.sock
Time                 Id Command    Argument
2020-11-23T13:19:32.816059Z	    5 Query	SET SQL_QUOTE_SHOW_CREATE=1
2020-11-23T13:19:32.816187Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.816329Z	    5 Query	show create table `help_keyword`
2020-11-23T13:19:32.816449Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.816588Z	    5 Query	show fields from `help_keyword`
2020-11-23T13:19:32.816855Z	    5 Query	show fields from `help_keyword`
2020-11-23T13:19:32.817104Z	    5 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `help_keyword`
2020-11-23T13:19:32.818319Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.818420Z	    5 Query	use `mysql`
2020-11-23T13:19:32.818513Z	    5 Query	select @@collation_database
2020-11-23T13:19:32.818618Z	    5 Query	SHOW TRIGGERS LIKE 'help\_keyword'
2020-11-23T13:19:32.818888Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.818977Z	    5 Query	ROLLBACK TO SAVEPOINT sp
2020-11-23T13:19:32.819075Z	    5 Query	show table status like 'help\_relation'
2020-11-23T13:19:32.821601Z	    5 Query	SET SQL_QUOTE_SHOW_CREATE=1
2020-11-23T13:19:32.821683Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.821776Z	    5 Query	show create table `help_relation`
2020-11-23T13:19:32.821896Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.822071Z	    5 Query	show fields from `help_relation`
2020-11-23T13:19:32.822297Z	    5 Query	show fields from `help_relation`
2020-11-23T13:19:32.822525Z	    5 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `help_relation`
2020-11-23T13:19:32.823815Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.823854Z	    5 Query	use `mysql`
2020-11-23T13:19:32.823920Z	    5 Query	select @@collation_database
2020-11-23T13:19:32.824022Z	    5 Query	SHOW TRIGGERS LIKE 'help\_relation'
2020-11-23T13:19:32.824276Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.824374Z	    5 Query	ROLLBACK TO SAVEPOINT sp
2020-11-23T13:19:32.824463Z	    5 Query	show table status like 'help\_topic'
2020-11-23T13:19:32.898200Z	    5 Query	SET SQL_QUOTE_SHOW_CREATE=1
2020-11-23T13:19:32.898299Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.898404Z	    5 Query	show create table `help_topic`
2020-11-23T13:19:32.898515Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.898622Z	    5 Query	show fields from `help_topic`
